CUENCA - AZUAY
GIRÓN - AZUAY
GUALACEO - AZUAY
NABÓN - AZUAY
PAUTE - AZUAY
PUCARA - AZUAY
SAN FERNANDO - AZUAY
SANTA ISABEL - AZUAY
SIGSIG - AZUAY
OÑA - AZUAY
CHORDELEG - AZUAY
EL PAN - AZUAY
SEVILLA DE ORO - AZUAY
GUACHAPALA - AZUAY
CAMILO PONCE ENRÍQUEZ - AZUAY
GUARANDA - BOLIVAR
CHILLANES - BOLIVAR
CHIMBO - BOLIVAR
ECHEANDÍA - BOLIVAR
SAN MIGUEL - BOLIVAR
CALUMA - BOLIVAR
LAS NAVES - BOLIVAR
AZOGUES - CAÑAR
BIBLIÁN - CAÑAR
CAÑAR - CAÑAR
LA TRONCAL - CAÑAR
EL TAMBO - CAÑAR
DÉLEG - CAÑAR
SUSCAL - CAÑAR
TULCÁN - CARCHI
BOLÍVAR - CARCHI
ESPEJO - CARCHI
MIRA - CARCHI
MONTÚFAR - CARCHI
SAN PEDRO DE HUACA - CARCHI
LATACUNGA - COTOPAXI
LA MANÁ - COTOPAXI
PANGUA - COTOPAXI
PUJILI - COTOPAXI
SALCEDO - COTOPAXI
SAQUISILÍ - COTOPAXI
SIGCHOS - COTOPAXI
RIOBAMBA - CHIMBORAZO
ALAUSI - CHIMBORAZO
COLTA - CHIMBORAZO
CHAMBO - CHIMBORAZO
CHUNCHI - CHIMBORAZO
GUAMOTE - CHIMBORAZO
GUANO - CHIMBORAZO
PALLATANGA - CHIMBORAZO
PENIPE - CHIMBORAZO
CUMANDÁ - CHIMBORAZO
MACHALA - EL ORO
ARENILLAS - EL ORO
ATAHUALPA - EL ORO
BALSAS - EL ORO
CHILLA - EL ORO
EL GUABO - EL ORO
HUAQUILLAS - EL ORO
MARCABELÍ - EL ORO
PASAJE - EL ORO
PIÑAS - EL ORO
PORTOVELO - EL ORO
SANTA ROSA - EL ORO
ZARUMA - EL ORO
LAS LAJAS - EL ORO
ESMERALDAS - ESMERALDAS
ELOY ALFARO - ESMERALDAS
MUISNE - ESMERALDAS
QUININDÉ - ESMERALDAS
SAN LORENZO - ESMERALDAS
ATACAMES - ESMERALDAS
RIOVERDE - ESMERALDAS
LA CONCORDIA - ESMERALDAS
GUAYAQUIL - GUAYAS
ALFREDO BAQUERIZO MORENO (JUJÁN) - GUAYAS
BALAO - GUAYAS
BALZAR - GUAYAS
COLIMES - GUAYAS
DAULE - GUAYAS
DURÁN - GUAYAS
EL EMPALME - GUAYAS
EL TRIUNFO - GUAYAS
MILAGRO - GUAYAS
NARANJAL - GUAYAS
